"","unique_identifier","dataset","population_id","plot","previous_generation","line","genealogy","pedigree","rep","treatment","block","row","col","trial","env","ADAPT","DF","DPM","FeSEED","FLCOL","GH","MEHA","MT2H","PHI","PLHA","POM","POM_corrected","PSC","seed_weight_PHI","SW100","SCP","SDBR","SSC","SSZ","total_weight_PHI","TSW","YDHA","YDHPL","ZnSEED","No_SEEDS","person","YdHa","POM_c2"
"1","13ACC02788.000","Pal13C_drt",65,2788,NA,"DAB_236",NA,NA,"R3","T41","B12",41,18,"trial9","drought",NA,32,63,NA,NA,NA,3.3,1.98,NA,41,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.8,2150.359408,1765.392626,NA,NA,NA,1917.88812067882,13.6
"2","13ACC02789.000","Pal13C_drt",65,2789,"1203100405","DAB_922",".25123-(M)WF2-4W-(CM)W-5W-(CM)Z'","SAB650 x KATB9","R3","T151","B12",41,17,"trial9","drought",NA,31,58,NA,NA,NA,3.3,1.98,NA,44,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.1,1835.970754,1404.517627,NA,NA,NA,1637.48742928975,13.9
"3","13ACC02790.000","Pal13C_drt",65,2790,"1203101159","DAB_926",".25118-(M)WF2-7W-(CM)W-1W-(CM)Z","SAB712 x KATB1","R3","T155","B12",41,16,"trial9","drought",NA,30,58,NA,NA,NA,2.9,1.74,NA,45,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.4,1754.703288,1153.424961,NA,NA,NA,1375.30798240101,12.3
"4","13ACC02791.000","Pal13C_drt",65,2791,"1203104483","LPA_551",".  25049- 12W  F2_(CM)W_(CM)W- 3Z-(CM)Z","(SUG47 X BRB25) X (SUG47 X USA63) X SAB679","R3","T209","B12",41,15,"trial9","drought",NA,35,63,NA,NA,NA,2.9,1.74,NA,27,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.4,1071.264368,1173.62963,NA,NA,NA,864.047768698932,11.5
"5","13ACC02792.000","Pal13C_drt",65,2792,"1203103765","DAB_629",".24734-(M)F2-4W-(CM)W-(CM)W-5W-(CM)W-(M)W","SAB  560  x  RMC   57","R3","T126","B12",41,14,"trial9","drought",NA,32,61,NA,NA,NA,3.3,1.98,NA,37,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.1,2219.846723,2019.460559,NA,NA,NA,1979.86329352608,14.5
"6","13ACC02793.000","Pal13C_drt",65,2793,"1203103693","DAB_612",".24714-(M)F2-1W-(CM)W-(CM)W-6W-(CM)W-(M)W","SEQ 1004  x  BRB  266","R3","T81","B12",41,13,"trial9","drought",NA,33,58,NA,NA,NA,3,1.8,NA,23,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.5,669.4444444,890.6521739,NA,NA,NA,558.571653048397,11.5
"7","13ACC02794.000","Pal13C_drt",65,2794,"1203101795","ACC_015","NA25585-1WF2-(CM)Z-1Z-(CM)Z","((RMA68 x RMX 8) x (VAX6 x CMB106)) x LYAMUNGO85","R3","T183","B12",41,12,"trial9","drought",NA,35,68,NA,NA,NA,3,1.8,NA,26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.2,1167.777778,1374.384615,NA,NA,NA,974.371464487743,11.5
"8","13ACC02795.000","Pal13C_drt",65,2795,NA,"DAB_380",NA,NA,"R3","T24","B12",41,11,"trial9","drought",NA,32,63,NA,NA,NA,3.3,1.98,NA,34,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,404.9,2056.838736,2036.270349,NA,NA,NA,1834.47779174523,13.5
"9","13ACC02796.000","Pal13C_drt",65,2796,"1203103732","DAB_621",".24734-(M)F2-1W-(CM)W-(CM)W-6W-(CM)W-(M)W","SAB  560  x  RMC   57","R3","T113","B12",41,10,"trial9","drought",NA,32,61,NA,NA,NA,3.3,1.98,NA,30,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.9,2058.492483,2309.628566,NA,NA,NA,1835.95275508066,10.1
"10","13ACC02797.000","Pal13C_drt",65,2797,"1203103717","DAB_663",".24523-(M)F2-2W-(CM)W-(CM)W-5W-(CM)W-(M)W","SUG   47  x  AFR  298","R3","T51","B12",41,9,"trial9","drought",NA,34,63,NA,NA,NA,2.6,1.56,NA,26,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,284.1,1878.329606,1915.896199,NA,NA,NA,1319.90729101194,11.3
"11","13ACC02798.000","Pal13C_drt",65,2798,"1203100360","DAB_901",".25122-(M)WF2-15W-(CM)W-1W-(CM)Z'","SAB645 x KATB9","R3","T130","B12",41,8,"trial9","drought",NA,31,58,NA,NA,NA,1.2,0.72,NA,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.9,1887.5,1925.25,NA,NA,NA,629.957573852923,11.5
"12","13ACC02799.000","Pal13C_drt",65,2799,"1203103803","DAB_637",".24529-(M)F2-7W-(CM)W-(CM)W-2W-(CM)W-(M)W","PVA  773  x  AFR  298","R3","T69","B12",41,7,"trial9","drought",NA,36,66,NA,NA,NA,3,1.8,NA,30,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,1471.30491,1500.731008,NA,NA,NA,1192.94992667086,13.4
"13","13ACC02800.000","Pal13C_drt",65,2800,"1203103617","ACC_029",".25170-15WF2_(CM)Z-(CM)W-1Z-(CM)Z","AFR298 x (RMX2 x BRB266)","R3","T197","B12",41,6,"trial9","drought",NA,33,62,NA,NA,NA,3.3,1.98,NA,25,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.9,1628.84778,2193.080651,NA,NA,NA,1452.75612822124,12.2
"14","13ACC02801.000","Pal13C_drt",65,2801,"1203104427","LPA_512",".  25034-  8W  F2_(CM)W_(CM)W- 5Z-(CM)Z","SAB675 X (SUG47 X BRB25) X (SUG47 X USA77)","R3","T206","B12",41,5,"trial9","drought",NA,35,62,NA,NA,NA,2.1,1.26,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1,762.6984127,1166.928571,NA,NA,NA,445.46668761785,11.5
"15","13ACC02802.000","Pal13C_drt",65,2802,"1203101798","ACC_006","NA25581-16WF2-(CM)Z-2Z-(CM)Z","((RMA71 x RMC65) x (RMX 2 x BRB266)) x AFR298","R3","T174","B12",41,4,"trial9","drought",NA,35,64,NA,NA,NA,2.9,1.74,NA,28,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.6,560.9195402,592.5714286,NA,NA,NA,452.419861722187,11.5
"16","13ACC02803.000","Pal13C_drt",65,2803,"1203103618","ACC_028",".25150-1WF2_(CM)Z-(CM)W-4Z-(CM)Z","LYAMUNGO85 x (RMA52 x SAB516)","R3","T196","B12",41,3,"trial9","drought",NA,33,62,NA,NA,NA,3.3,1.98,NA,40,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.6,1561.86,1314.31,NA,NA,NA,1393.01068510371,12.4
"17","13ACC02804.000","Pal13C_drt",65,2804,"1203100345","DAB_923",".25122-(M)WF2-31W-(CM)W-1W-(CM)Z'","SAB645 x KATB9","R3","T152","B12",41,2,"trial9","drought",NA,32,62,NA,NA,NA,2.4,1.44,NA,16,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.7,1951.17,2985.29,NA,NA,NA,1265.62382149591,13.3
"18","13ACC02805.000","Pal13C_drt",65,2805,"1203101163","DAB_927",".25119-(M)WF2-4W-(CM)W-4W-(CM)Z","SAB713 x KATB1","R3","T156","B12",41,1,"trial9","drought",NA,34,62,NA,NA,NA,3.3,1.98,NA,22,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.8,1363.12,2085.57,NA,NA,NA,1215.75529017389,11
"19","13ACC02806.000","Pal13C_drt",65,2806,"1203101825","ACC_018",".25150-1WF2_(CM)Z-(CM)W-4Z-(CM)Z","LYAMUNGO85 x (RMA52 x SAB516)","R3","T186","B11",40,1,"trial9","drought",NA,34,62,NA,NA,NA,2.7,1.62,NA,40,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,328.6,2066.13,1422.53,NA,NA,NA,1507.71841609051,12.4
"20","13ACC02807.000","Pal13C_drt",65,2807,"1203104433","LPA_643",".  25073- 36W  F2_(CM)W_(CM)W- 4Z-(CM)Z","SAB626 X (PVA773 X BRB25) X (PVA773 X USA63)","R3","T211","B11",40,2,"trial9","drought",NA,34,63,NA,NA,NA,2.3,1.38,NA,18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.5,865.94,1128.61,NA,NA,NA,553.936203645506,11.5
"21","13ACC02808.000","Pal13C_drt",65,2808,"1203101128","DAB_932",".25120-(M)WF2-7W-(CM)W-5W-(CM)Z","SAB725 x KATB1","R3","T161","B11",40,3,"trial9","drought",NA,30,61,NA,NA,NA,3.3,1.98,NA,32,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1556.99,1637.76,NA,NA,NA,1388.67064739158,12.5
"22","13ACC02809.000","Pal13C_drt",65,2809,"1203103733","DAB_675",".24529-(M)F2-3W-(CM)W-(CM)W-1W-(CM)W-(M)W","PVA  773  x  AFR  298","R3","T66","B11",40,4,"trial9","drought",NA,36,66,NA,NA,NA,3.3,1.98,NA,28,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.2,965.66,1160.86,NA,NA,NA,886.297925832809,11.5
"23","13ACC02810.000","Pal13C_drt",65,2810,NA,"DAB_158",NA,NA,"R3","T2","B11",40,5,"trial9","drought",NA,37,68,NA,NA,NA,3.3,1.98,NA,31,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.3,956.06,1038.1,NA,NA,NA,877.490571967316,11.5
"24","13ACC02811.000","Pal13C_drt",65,2811,NA,"DAB_384",NA,NA,"R3","T35","B11",40,6,"trial9","drought",NA,34,63,NA,NA,NA,3.3,1.98,NA,27,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.2,1356.28,1690.83,NA,NA,NA,1209.65430546826,10.9
"25","13ACC02812.000","Pal13C_drt",65,2812,"1203103787","DAB_681",".24524-(M)F2-1W-(CM)W-(CM)W-1W-(CM)W-(M)W","SUG   47  x  RAA   30","R3","T54","B11",40,7,"trial9","drought",NA,35,68,NA,NA,NA,2.7,1.62,NA,23,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.3,946.3,1133.09,NA,NA,NA,710.614393463231,11.5
"26","13ACC02813.000","Pal13C_drt",65,2813,"1203100387","DAB_907",".25129-(M)WF2-12W-(CM)W-2W-(CM)Z'","SAB659 x KATB9","R3","T136","B11",40,8,"trial9","drought",NA,32,63,NA,NA,NA,2.4,1.44,NA,28,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.8,769.44,672.71,NA,NA,NA,513.607793840352,11.5
"27","13ACC02814.000","Pal13C_drt",65,2814,"1203104475","LPA_467",".  25029- 20W  F2_(CM)W_(CM)W- 3Z-(CM)Z","(SUG47 X SEA5) X (SUG47 X USA63) X SAB682","R3","T203","B11",40,9,"trial9","drought",NA,33,63,NA,NA,NA,2.5,1.5,NA,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.1,1560.67,2094.58,NA,NA,NA,1085.15870521684,11.5
"28","13ACC02815.000","Pal13C_drt",65,2815,"1203101093","DAB_934",".25119-(M)WF2-4W-(CM)W-5W-(CM)Z","SAB713 x KATB1","R3","T163","B11",40,10,"trial9","drought",NA,32,60,NA,NA,NA,3.3,1.98,NA,31,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.4,1606.85,1744.73,NA,NA,NA,1433.14058244291,10.7
"29","13ACC02816.000","Pal13C_drt",65,2816,NA,"DAB_402",NA,NA,"R3","T39","B11",40,11,"trial9","drought",NA,33,60,NA,NA,NA,3.3,1.98,NA,28,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.5,1335.92,1605.96,NA,NA,NA,1191.4938194008,12
"30","13ACC02817.000","Pal13C_drt",65,2817,NA,"DAB_244",NA,NA,"R3","T37","B11",40,12,"trial9","drought",NA,32,66,NA,NA,NA,3.3,1.98,NA,43,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.9,1445.97,1131.89,NA,NA,NA,1289.64697255395,11.4
"31","13ACC02818.000","Pal13C_drt",65,2818,"1203103738","DAB_617",".24729-(M)F2-1W-(CM)W-(CM)W-7W-(CM)W-(M)W","SAB  514  x  RMA   69","R3","T97","B11",40,13,"trial9","drought",NA,32,58,NA,NA,NA,3.3,1.98,NA,34,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.6,1048.48,1038,NA,NA,NA,962.319296040226,11.5
"32","13ACC02819.000","Pal13C_drt",65,2819,"1203103834","DAB_687",".24531-(M)F2-1W-(CM)W-(CM)W-2W-(CM)W-(M)W","PVA  773  x  BRB   25","R3","T73","B11",40,14,"trial9","drought",NA,37,69,NA,NA,NA,2.6,1.56,NA,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9,569.87,889,NA,NA,NA,412.091451917033,11.5
"33","13ACC02820.000","Pal13C_drt",65,2820,"1203103724","DAB_619",".24730-(M)F2-1W-(CM)W-(CM)W-6W-(CM)W-(M)W","SAB  516  x  BRB  215","R3","T103","B11",40,15,"trial9","drought",NA,32,60,NA,NA,NA,2.6,1.56,NA,30,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,1192.31,1054,NA,NA,NA,862.193588937775,11.5
"34","13ACC02821.000","Pal13C_drt",65,2821,"1203103813","DAB_615",".24716-(M)F2-4W-(CM)W-(CM)W-4W-(CM)W-(M)W","SEQ 1006  x  BRB  266","R3","T86","B11",40,16,"trial9","drought",NA,31,62,NA,NA,NA,3.3,1.98,NA,44,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.9,1161.11,888.25,NA,NA,NA,1065.6898177247,11.5
"35","13ACC02822.000","Pal13C_drt",65,2822,"1203103728","DAB_672",".24530-(M)F2-6W-(CM)W-(CM)W-1W-(CM)W-(M)W","PVA  773  x  RAA   30","R3","T72","B11",40,17,"trial9","drought",NA,36,62,NA,NA,NA,3,1.8,NA,33,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.1,1072.78,994.76,NA,NA,NA,895.105279698303,11.5
"36","13ACC02823.000","Pal13C_drt",65,2823,"1203103788","DAB_655",".24734-(M)F2-2W-(CM)W-(CM)W-2W-(CM)W-(M)W","SAB  560  x  RMC   57","R3","T114","B11",40,18,"trial9","drought",NA,33,62,NA,NA,NA,3.3,1.98,NA,34,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.1,1141.92,1130.5,NA,NA,NA,1048.07510999371,11.5
"37","13ACC02824.000","Pal13C_drt",65,2824,"1203103771","DAB_644",".24734-(M)F2-4W-(CM)W-(CM)W-1W-(CM)W-(M)W","SAB  560  x  RMC   57","R3","T123","B10",39,18,"trial9","drought",NA,32,60,NA,NA,NA,2.9,1.74,NA,29,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1952.09,1991.13,NA,NA,NA,1530.01257071025,9
"38","13ACC02825.000","Pal13C_drt",65,2825,"1203100389","DAB_913",".25122-(M)WF2-30W-(CM)W-3W-(CM)Z'","SAB645 x KATB9","R3","T142","B10",39,17,"trial9","drought",NA,31,56,NA,NA,NA,2.6,1.56,NA,27,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.4,1797.84,1765.87,NA,NA,NA,1263.3438089252,12.1
"39","13ACC02826.000","Pal13C_drt",65,2826,"1203103824","DAB_583",".24714-(M)F2-1W-(CM)W-(CM)W-1W-(CM)W-(M)W","SEQ 1004  x  BRB  266","R3","T80","B10",39,16,"trial9","drought",NA,31,63,NA,NA,NA,2.7,1.62,NA,26,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,1604.39,1699.42,NA,NA,NA,1170.77309868008,11.3
"40","13ACC02827.000","Pal13C_drt",65,2827,"1203104437","LPA_736",".  25096- 25W  F2_(CM)W_(CM)W- 3Z-(CM)Z","SEQ1006 X (SUG47 X USA77) X (PVA773 X SEA5)","R3","T215","B10",39,15,"trial9","drought",NA,32,62,NA,NA,NA,2.7,1.62,NA,23,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.1,1457.41,1745.09,NA,NA,NA,1094.42960402263,11.5
"41","13ACC02828.000","Pal13C_drt",65,2828,"1203103730","DAB_652",".24729-(M)F2-1W-(CM)W-(CM)W-6W-(CM)W-(M)W","SAB  514  x  RMA   69","R3","T96","B10",39,14,"trial9","drought",NA,31,56,NA,NA,NA,3.3,1.98,NA,26,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.9,2091.16,2707.25,NA,NA,NA,1865.09218520846,11.4
"42","13ACC02829.000","Pal13C_drt",65,2829,"1203103727","DAB_590",".24728-(M)F2-3W-(CM)W-(CM)W-4W-(CM)W-(M)W","SAB  514  x  BRB  214","R3","T94","B10",39,13,"trial9","drought",NA,33,60,NA,NA,NA,2.4,1.44,NA,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.3,1252.08,1532.55,NA,NA,NA,835.771527341295,11.5
"43","13ACC02830.000","Pal13C_drt",65,2830,"1203100366","DAB_918",".25126-(M)WF2-9W-(CM)W-5W-(CM)Z'","SAB645 x KATB9","R3","T147","B10",39,12,"trial9","drought",NA,30,58,NA,NA,NA,3.3,1.98,NA,42,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.3,1487.1,1191.8,NA,NA,NA,1326.3309239472,10.3
"44","13ACC02831.000","Pal13C_drt",65,2831,"1203100380","DAB_908",".25127-(M)WF2-6W-(CM)W-1W-(CM)Z'","SAB645 x KATB9","R3","T137","B10",39,11,"trial9","drought",NA,30,62,NA,NA,NA,3.3,1.98,NA,30,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.9,1723.96,1934.29,NA,NA,NA,1537.58747119212,10.2
"45","13ACC02832.000","Pal13C_drt",65,2832,"1203103781","DAB_616",".24723-(M)F2-2W-(CM)W-(CM)W-4W-(CM)W-(M)W","SEQ 1036  x  RMA   44","R3","T90","B10",39,10,"trial9","drought",NA,38,66,NA,NA,NA,2.7,1.62,NA,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.4,1150.62,1508.95,NA,NA,NA,864.047768698932,11.5
"46","13ACC02833.000","Pal13C_drt",65,2833,"1203101062","DAB_937",".25116-(M)WF2-1W-(CM)W-4W-(CM)Z","SAB659 x KATB1","R3","T166","B10",39,9,"trial9","drought",NA,30,56,NA,NA,NA,3.3,1.98,NA,37,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,353.4,1813.9,1650.16,NA,NA,NA,1617.80641106222,12.6
"47","13ACC02834.000","Pal13C_drt",65,2834,NA,"DAB_049",NA,NA,"R3","T8","B10",39,8,"trial9","drought",NA,35,63,NA,NA,NA,3.3,1.98,NA,27,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,284.4,1493.15,1861.46,NA,NA,NA,1331.72847265871,10.6
"48","13ACC02835.000","Pal13C_drt",65,2835,"1203101856","ACC_017",".24770-(M)WF2-3Z_(CM)Z-3Z-(CM)Z","RMA52 x SAB516","R3","T185","B10",39,7,"trial9","drought",NA,32,60,NA,NA,NA,2.7,1.62,NA,28,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.8,1644.69,1617.67,NA,NA,NA,1200.17808506181,9
"49","13ACC02836.000","Pal13C_drt",65,2836,"1203103831","DAB_611",".24693-(M)F2-3W-(CM)W-(CM)W-4W-(CM)W-(M)W","DRK  149  x  BRB  215","R3","T76","B10",39,6,"trial9","drought",NA,33,63,NA,NA,NA,2.8,1.68,NA,28,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.4,1222.62,1247.07,NA,NA,NA,952.121307353866,11.5
"50","13ACC02837.000","Pal13C_drt",65,2837,"1203103720","DAB_666",".24529-(M)F2-10W-(CM)W-(CM)W-3W-(CM)W-(M)W","PVA  773  x  AFR  298","R3","T63","B10",39,5,"trial9","drought",NA,36,66,NA,NA,NA,3.3,1.98,NA,36,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.6,1265.73,1183.46,NA,NA,NA,1128.89377749843,12.6
"51","13ACC02838.000","Pal13C_drt",65,2838,"1203103811","DAB_640",".24716-(M)F2-10W-(CM)W-(CM)W-5W-(CM)W-(M)W","SEQ 1006  x  BRB  266","R3","T82","B10",39,4,"trial9","drought",NA,33,63,NA,NA,NA,3.3,1.98,NA,30,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.9,1353.03,1518.1,NA,NA,NA,1206.75675675676,14
"52","13ACC02839.000","Pal13C_drt",65,2839,"1203101806","ACC_011",".25167-8WF2_(CM)Z-(CM)W-1Z-(CM)Z","AFR298 x (RMA68 x RMX19)","R3","T179","B10",39,3,"trial9","drought",NA,31,66,NA,NA,NA,3,1.8,NA,28,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.4,1257.78,1374.57,NA,NA,NA,1049.46574481458,11.5
"53","13ACC02840.000","Pal13C_drt",65,2840,NA,"DAB_252",NA,NA,"R3","T43","B10",39,2,"trial9","drought",NA,32,66,NA,NA,NA,3,1.8,NA,43,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.4,1257.78,895.07,NA,NA,NA,1049.46574481458,11.5
